hebrew	english	rank	gender
סיוון	Sivan	60	f
ניצן	Nitzan	50	f
נמרוד	Nimrod	40	m
משי	Meshi	40	f
מירב	Meirav	30	f
ליטל	Lital	30	f
לירז	Liraz	40	f
לירון	Liron	50	b
לימור	Limor	40	f
ליהי	Lihi	50	f
כפיר	Kfir	40	m
ירין	Yarin	40	b
ירון	Yaron	40	m
יסמין	Yasmin	30	f
יעל	Yael	40	f
יערה	Yaara	30	f
יגאל	Yigal	50	m
הגר	Hagar	40	f
אלעד	Elad	50	m
אלה	Ella	50	f
אליעד	Eliad	50	m
אורלי	Orli	40	f
אוהד	Ohad	40	m
